,Name,Rate,Reviews_num,Type,Review,By,Lat,Lng,Hotness
1,City Circle Tram,4.1,"18,256",Trams,"I found this Free service being excellent, it was good efficient and allow me to see the sights with having to worry...",By brian12013,-37.8117065,144.9566965,74849.6
2,Royal Botanic Gardens Victoria,4.8,"10,061",Gardens,"see the amazing cactus garden and the Children's garden with giant bamboo, vegie garden, interactive spaces & so much...",By lilianab519,-37.8303689,144.9796056,48292.8
3,Melbourne Cricket Ground (MCG),4.7,"8,865",Speciality Museums • Arenas & Stadiums,We took in the MCG stadium tour and Sports museum the tour was very relaxed and extremely informative Rosie our...,By 553grahamh,-37.8199669,144.9834493,41665.5
4,Eureka Skydeck,4.5,"7,943",Observation Decks & Towers,Amazing views and was great to go on the glass floor I would definitely recommend to anyone wanting to see the whole...,By connora04,-37.8213341,144.9646982,35743.5
5,Melbourne Zoo,4.4,"6,604",Zoos • Gardens,"The lemurs enclosure, the snow leopards, the elephants and the butterfly house all uplifting and informative.",By 333Jonno,-37.7841346,144.9515473,29057.6
6,Shrine of Remembrance,4.8,"5,906",Monuments & Statues,"... Avenue leading to the Shrine - lined with memorial sculptures, formal landscaping & at the front the Eternal flame.",By Traveller88Melbourne,-37.8305164,144.9734319,28348.8
7,SkyBus,4,"7,058",Bus Services • Taxis & Shuttles,"Once it gets you to Southern Cross Station, you're just a short tram ride to whichever hotel within the Free Tram Zone.",By BlackCoookie,-37.670939,144.8487366,28232
8,Go West Tours,4.9,"5,364",Walking Tours • Sightseeing Tours,Just completed the Great Ocean Road Tour with our wonderful tour guide/ Awesome DJ Bryce he has some very funny jokes...,By alice_060805,-37.814725,144.9659023,26283.6
9,National Gallery of Victoria,4.7,"5,483",Art Museums,"Soooo many people but still managed to take a great look at Picasso, Salvatore Dali, Andy Warhol and Jackson Pollock...",By Meva8679,-37.8225942,144.9689278,25770.1
10,Block Arcade,4.5,"5,071",Points of Interest & Landmarks,Of course you must line up to have devonshire tea or a delectable snack at the Hopetoun Tea Rooms inside the arcade o...,By Wendy33763,-37.815795,144.9646665,22819.5
11,Melbourne Museum,4.6,"4,202",Speciality Museums,... day exploring!! Our kids really enjoyed the history of Melbourne and Phar Lap displays as we are from interstate.,By Kelglaz,-37.803273,144.9717408,19329.2
12,SEA LIFE Melbourne Aquarium,4.3,"3,926",Aquariums,Cleverly layout and plenty of things to see and do including the 4D Ice Age movie.,By LizNmArK,-37.820627,144.95822,16881.8
13,Depot Adventures,4.9,"2,994","City Tours • Bar, Club & Pub Tours","Did the free walking tour and was thoroughly enjoyable, and big thanks to Hugo for making it so fun!",By DayTrip228934,-37.8177449,144.9670057,14670.6
14,Old Melbourne Gaol,4.5,"3,209",Historic Sites,"The Gaol is self guided, the watch house and court room were both guided by very entertaining and knowledgable tour g...",By Comm007guy,-37.807832,144.9653171,14440.5
15,State Library Victoria,4.7,"2,927",Libraries,"Wonderful circular reading room, free WiFi, found a book on Australian novelist Randolph Stow on open shelves where I...",By bluepumpkinsoup,-37.8098087,144.9651897,13756.9
16,I'm Free Walking Tours,4.8,"2,733",City Tours • Cultural Tours,"Great tour with a good mix of historical and fun facts about the city, duration of the tour is perfect as well includ...",By wiccco,-37.8097472,144.9654858,13118.4
17,Federation Square,4.5,"2,856",Art Galleries • Civic Centres,"I always enjoy fed Square, with it's sloping expansive courtyard, huge entertainment screen and plenty to see and do.",By evinka2016,-37.8179789,144.9690576,12852
18,Southbank,4.5,"2,305",Points of Interest & Landmarks,Lovely to stroll along the Yarra river and watch the skiff boats go up and down the river or oogle at the skyline of...,By BusterBrewsky,-37.829,144.957,10372.5
19,Vinetrekker Wine and Food Tours,5,"1,987",Balloon Rides • Private Tours,Mornington Peninsula Chocolates are superb and perhaps the finest quality chocolate in Australia!!! Spoil yourself wi...,By SunnyHill2,-37.8379497,144.9541176,9935
20,Crown Casino,4.4,"2,112",Casinos,"There is so much to see and do, plenty of the usual poker machines and tables if you want to try your luck.",By 371leannem,-37.8235301,144.9580953,9292.8
21,Hosier Lane,4.4,"2,010",Points of Interest & Landmarks,... I decided to show them a little of Melbourne street art especially Hosier Lane which is always fascinating to see...,By Ellemay,-37.8165717,144.9691696,8844
22,Sightseeing Tours Australia,3.8,"2,124",Multi-day Tours • Boat Tours,"Spent a wonderful day exploring the sights of the Blue Mountains, Leura, Scenic World, and watching a beautiful (but...",By 645kelliy,-37.8186205,144.9627167,8071.2
23,Degraves Street,4.5,"1,779",Neighbourhoods,It's a little lane way packed with restaurants and cafes.,By asY4799JG,-37.8173376,144.9657921,8005.5
24,Melbourne Star Observation Wheel,4.4,"1,817",Points of Interest & Landmarks • Observation Decks & Towers,The gift shop was a bit over price but all gift shops are!!,By Paulo_Ellen,-37.8118005,144.9374369,7994.8
25,Escape Discovery Adventures,5,"1,570",Sightseeing Tours • Private Tours,We had the most perfect weather for the Great Ocean Road tour and our photos were like postcards..just picture perfect.,By EstherB266,-37.817334,144.968842,7850
26,Bunyip Tours,4.4,"1,754",Sightseeing Tours • Nature & Wildlife Tours,Our family of four booked 2 tours with Bunyip for the Phillip Island Penguin Parade and the Great Ocean Road Tour.,By aaareed,-37.814725,144.9659023,7717.6
27,Flinders Street Station,4.4,"1,740",Points of Interest & Landmarks,"A beautiful and iconic building which typifies Melbourne, and is the transport hub for the metro rail system - am mus...",By 882hendrikv,-37.8182711,144.9670618,7656
28,Fitzroy Gardens,4.7,"1,609",Points of Interest & Landmarks • Parks,The gardens are beautifully maintained and home to Captain James Cook's cottage which is situated in the centre of th...,By PJS1958,-37.8127215,144.9800679,7562.3
29,Yarra River,4.5,"1,680",Bodies of Water,The Yarra does have a lot going for it -- you can take a boat trip to view the skyscrapers or take the ferry to Willi...,By 619jeffry,-37.7550316,145.5215238,7560
30,Melbourne Central,4.4,"1,641",Neighbourhoods • Shopping Malls,"Went to the cinema to see Downtown abbey , great theatre and the view of the shot tower before the cinema was great",By 329leannej,-37.8102361,144.9627652,7220.4
31,St,4.6,"1,568",Historic Sites • Religious Sites,"The gothic architecture, so typical of these buildings, is fantastic.",By 750dimitrisl,-37.817029,144.967687,7212.8
32,Rod Laver Arena,4.7,"1,527",Arenas & Stadiums,"Rod Laver Arena is in the Melbourne Park complex, it's the main venue for the Australian Open tennis, the first Grand...",By 619jeffry,-37.8216161,144.9785584,7176.9
33,Hit the Road Tours,4.6,"1,533",Nature & Wildlife Tours • Day Trips,The reverse tour was exceptional and I would recommend it to everyone as it was nice to miss all the crowds at all ou...,By 654debbied,-37.8195817,144.9680565,7051.8
34,ACMI,4.6,"1,459",Speciality Museums • Science Museums,"The Alice in Wonderland exhibition, for which you paid to see, was really good, a great variety of interactive displays.",By Wombatsforever,-37.8175873,144.9690641,6711.4
35,Immigration Museum,4.4,"1,521",History Museums,"In the old Customs House in the centre of Melbourne, a fascinating collection of stories and memorabilia relating to...",By 751leonardg,-37.8192442,144.9604547,6692.4
36,St Paul's Cathedral,4.6,"1,410",Historic Sites • Religious Sites,"Architectural wonders, beautiful stained glass, and little gems characterize this house of worship.",By 337PaulJ337,-37.817029,144.967687,6486
37,The Little Penguin Bus,4.9,"1,235",Sightseeing Tours • Nature & Wildlife Tours,"... on the Philip Island, the Nobbies, with some breath-taking views and waves and then onto the Penguin Parade.",By Vandy_VR,-37.8182147,144.9635628,6051.5
38,Melbourne Visitor Centre,4.5,"1,305",Visitor Centres,"The excellent Visitor’s centre is temporarily relocated from Federation square to next door/part of, the city hall",By rossh494,-37.814527,144.9663348,5872.5
39,Australian Wine Tour Company,4.9,"1,192",Wine Tours & Tastings ,We all thoroughly enjoyed our day and besides the wineries we all loved seeing the beauty of the Yarra Valley!!,By 15kimg,-37.8172233,144.9680687,5840.8
40,Global Ballooning Australia,4.9,"1,147",City Tours • Balloon Rides,The views were amazing and the champagne breakfast delicious.,By 121jadew,-37.8250207,144.9973547,5620.3
41,Blue Tongue Bikes,5,"1,108",Bike Tours • Self-Guided Tours & Rentals,"Freddy’s bike tour offers a very comprehensive biking trip around the city centre, suburbs, Parks , sports arena and...",By Aikhim,-37.8213191,144.9572166,5540
42,Gray Line Melbourne,4.3,"1,246",City Tours • Sightseeing Tours,"We took the puffing Billy morning tour and the driver/guide, Dan (I think), took very good care of all passengers.",By HChan,-37.8170124,144.970065,5357.8
43,Dandenong Ranges National Park,4.7,"1,101",National Parks,"There are art galleries, cafes and of course Puffing billy.",By daryl425,-37.8900735,145.3176822,5174.7
44,Wildlife Tours Australia,4.7,"1,101",Multi-day Tours • Sightseeing Tours,I did the 3 day tour to the Great Ocean Road and the Grampians & the day tour to Philip Island and I loved them both...,By febeh2019,-37.8492864,144.8618889,5174.7
45,ArtVo,4.6,"1,059",Art Museums,Amazing murals that you can immerse yourself in and take photos on your phone.,By sandi28,-37.8128346,144.9376494,4871.4
46,South Melbourne Market,4.6,"1,044",Flea & Street Markets • Shopping Malls,"- A wide selection of fresh oysters - Lots of different cuisines to choose from including: Spanish, Turkish, Mexican,...",By iAiver,-37.8320111,144.9559391,4802.4
47,Yarra Valley Wine Tasting Tours,4.6,"1,028",Wine Tours & Tastings ,"4 cellar doors, a dairy farm, chocolate factory and a fabulous lunch.",By BobLittlejohns,-37.8162845,144.8985109,4728.8
48,Lygon Street,4,"1,152",Points of Interest & Landmarks,"If you like Italian, you'll love Lygon St. Authentic Italian food this is the place in Melbourne to go.",By Ross2711b,-37.7844784,144.9697077,4608
49,Dancing Kangaroo Tours,5,849,Walking Tours • Sightseeing Tours,"It is more than “just a wine tour”.. it’s informative, well planned, the driver (Sean) was funny, knew his stuff, “ze...",By N4821WPnicolen,-37.8093612,144.9597395,4245
50,Picture This Ballooning - Melbourne and Yarra Valley,4.7,899,Balloon Rides,"The sunrise, the city skyline views and the 5 star gourmet champagne breakfast made for the most divine experience th...",By alysuren,-37.8296777,145.2150029,4225.3
51,DFO South Wharf,4.2,966,Factory Outlets,All your favorites under one roof.,By A4865PEkarenh,-37.824806,144.9505036,4057.2
52,Melbourne Boutique Tours,4.6,834,Sightseeing Tours • Private Tours,,,-37.8185746,144.9627257,3836.4
53,Melbourne River Cruises,4.2,887,Boat Tours,Recommend this dinner cruise to anyone.,By R1020OCjuliea,-37.8199185,144.965806,3725.4
54,Oceania Tours & Safaris,5,739,Cultural Tours • Historical & Heritage Tours,"One the second day, we went to Phillip Island with Jeremy, who was very knowledgeable about conservation and made sur...",By 848karah,45.4910749,-73.6506725,3695
55,Collins Street,4.5,804,Points of Interest & Landmarks,"I love walking down Collins Street, right from the Paris end to the new parts in the Docklands.",By 655Denis,-37.8182937,144.956676,3618
56,The Ian Potter Centre: NGV Australia,4.6,773,Speciality Museums,"Has an extensive and interesting collection of Australian art especially the Heidelberg School artists, wonderful.",By brysc01,-37.8170507,144.9697357,3555.8
57,Chinatown,4.2,837,Points of Interest & Landmarks,Take a walk up LIttle Bourke Street from Swanston Street and you are sure to find something interesting..,By 619jeffry,-37.8114839,144.9687451,3515.4
58,The Regent Theatre,4.7,714,Theatres,Highly recommend this production for a fun night out.,By Vicki-AnneJ,-37.8154806,144.9675232,3355.8
59,Australian Sports Museum,4.6,720,Speciality Museums,Our National Sports Museum at the MCG is a plethora of Australian Sporting History.,By AuntyDeb,-37.8190083,144.9843142,3312
60,Royal Exhibition Building,4.6,666,Points of Interest & Landmarks • Architectural Buildings,"... part of Melbourne’s history, stunning architecture inside and out surrounded by the gorgeous Carlton Gardens.",By GeorgiaSZ,-37.8046891,144.9716502,3063.6
61,Rush Escape Game,4.9,606,Escape Games,"Our game master John was really great, very friendly and enthusiastic, which really made the whole experience!",By j0eyj0,-37.8391602,144.9915376,2969.4
