Name,Lat,Lng,Rating,Uers_total_rating,Address,Hotness
Crown Towers Melbourne,-37.822379,144.960017,4.5,6293,"8 Whiteman St, Southbank VIC 3006",28318.5
Grand Hyatt Melbourne,-37.815207,144.969828,4.5,3518,"123 Collins St, Melbourne VIC 3000",15831
Crown Metropol Melbourne,-37.825839,144.957664,4.4,2073,"8 Whiteman St, Southbank VIC 3006",9121.2
Park Hyatt Melbourne,-37.811481,144.976486,4.6,1838,"1 Parliament Square Off, Parliament Pl, Melbou...",8454.8
"The Langham, Melbourne",-37.820673,144.965674,4.5,1772,"1 Southgate Ave, Southbank VIC 3006",7974
Pullman Melbourne On the Park,-37.815747,144.983256,4.1,1942,"192 Wellington Parade, East Melbourne VIC 3002",7962.2
The Victoria Hotel,-37.814306,144.967143,4.1,1928,"215 Little Collins St, Melbourne VIC 3000",7904.8
Crown Promenade Melbourne,-37.823839,144.959937,4.4,1645,"8 Whiteman St, Southbank VIC 3006",7238
Novotel Melbourne on Collins,-37.815766,144.964841,4.2,1707,"270 Collins St, Melbourne VIC 3000",7169.4
The Hotel Windsor,-37.812125,144.972965,4.3,1657,"111 Spring St, Melbourne VIC 3000",7125.1
Mercure Welcome Melbourne,-37.812794,144.964655,3.8,1786,"265 Little Bourke St, Melbourne VIC 3000",6786.8
Rydges Melbourne,-37.811228,144.970652,4,1688,"186 Exhibition St, Melbourne VIC 3000",6752
"Crowne Plaza Melbourne, an IHG Hotel",-37.821984,144.954413,4.2,1580,"1/5 Spencer St, Melbourne VIC 3008",6636
Rendezvous Hotel Melbourne,-37.818431,144.963546,4.1,1575,"328 Flinders St, Melbourne VIC 3000",6457.5
Pan Pacific Melbourne,-37.825035,144.951129,4.5,1388,"2 Convention Centre Pl, South Wharf VIC 3006",6246
Pan Pacific Melbourne,-37.825035,144.951129,4.5,1388,"2 Convention Centre Pl, South Wharf VIC 3006",6246
Atlantis Hotel,-37.813604,144.951863,4,1552,"300 Spencer St, Melbourne VIC 3000",6208
Travelodge Hotel Melbourne Docklands,-37.818413,144.949814,4,1551,"66 Aurora Ln, Docklands VIC 3008",6204
The Great Southern Hotel,-37.819722,144.955,3.7,1591,"44 Spencer St, Melbourne VIC 3000",5886.7
"InterContinental Melbourne, an IHG Hotel",-37.818241,144.95783,4.5,1278,"495 Collins St, Melbourne VIC 3000",5751
The Westin Melbourne,-37.815855,144.967516,4.5,1215,"205 Collins St, Melbourne VIC 3000",5467.5
ibis Melbourne Hotel & Apartments,-37.806956,144.961363,4.1,1324,"15-21 Therry St, Melbourne VIC 3000",5428.4
Brady Hotels Central Melbourne,-37.809159,144.962674,4.3,1194,"30 Little La Trobe St, Melbourne VIC 3000",5134.2
QT Melbourne,-37.813358,144.968075,4.6,1116,"133 Russell St, Melbourne VIC 3000",5133.6
Oaks Melbourne on Market Hotel,-37.817808,144.960797,4.2,1211,"60 Market St, Melbourne VIC 3000",5086.2
Pegasus Apart'Hotel,-37.810149,144.957135,4.2,1186,"206 A'Beckett St, Melbourne VIC 3000",4981.2
Melbourne Marriott Hotel,-37.809947,144.969432,4.3,1134,"Corner Exhibition &, Lonsdale St, Melbourne VI...",4876.2
