,name,rate,reviews_num,type,price_level,review,lat,lng,subtype,hotness
1,Chin Chin,4.4,"5,825","Asian, Thai",$$ - $$$,"“... Kingfish Sashimi, Corn Fritters, Pork Rollups, Pad Thai, Green Papaya Sal...”",-37.815614,144.970377,Thai,31455
2,Movida Bar de Tapas,4.5,"2,705","Mediterranean, Spanish",$$ - $$$,“... but the two best dishes were the octopus and the beef cheeks on a caulifl...”,-37.8167167,144.9691417,Mediterranean,14877.5
3,Rice Paper Scissors,4.5,"2,335","Asian, Thai",$$ - $$$,“A crunchy texture 🥩【 Chicken Papaya Salad 】3/5 It's very Southeast Asian.”,-37.8142795,144.9614222,Thai,12842.5
4,Cumulus Inc.,4.4,"2,084","European, Australian",$$ - $$$,"“First 3 dishes,a shucked oyster au natural,tuna on goat curd and stuffed zuch...”",-37.8149132,144.9731229,Australian,11253.6
5,Vue De Monde,4.5,"2,014","Australian, Contemporary",$$$$,"“... of!) to the crab sausages, wagyu beef that was so tender and then the pav...”",-37.8187,144.9576,Australian,11077
6,Rockpool Bar & Grill,4.4,"1,918","Steakhouse, Australian",$$$$,“... before arrive 🤗 I love the wagyu beef I have ordered cook to perfection ...”,-33.866098,151.2102038,Australian,10357.2
7,The Hardware Societe,4.4,"1,837","Cafe, Australian",$$ - $$$,“Both the salmon and lobster meals were excellent.”,-37.8200436,144.9566022,Australian,9919.8
8,Maha,4.6,"1,643","Mediterranean, Turkish",$$$$,“The hummus was out of this world And the lamb omg 😱 yummmmm 10/10 I read the...”,-37.8181667,144.962625,Mediterranean,9200.8
9,Red Spice Road,4.4,"1,706","Asian, Thai",$$ - $$$,"“We shared crunchy fish tacos, lemongrass beef curry, chicken pad see ew, Beng...”",-37.8153444,144.9606767,Thai,9212.4
10,Supernormal,4.5,"1,542","Japanese, Asian",$$ - $$$,“Modern Asian fusion dishes were beautifully presented and oozed love and flav...”,-37.815936,144.9682971,Japanese,8481
11,Afternoon Tea at The Hotel Windsor,4.3,"1,493",Australian,$$$$,"“... staff, great High Tea with the most delicious and delectable sandwiches.”",-37.812125,144.9729651,Australian,7912.9
